country,countrycode,year,cgdp,pop
Canada,CAN,2001,29996.08545,31019020
Canada,CAN,2002,30634.22614,31353660
Canada,CAN,2003,32054.03885,31639670
Canada,CAN,2004,33653.98917,31940680
Canada,CAN,2005,36051.18487,32245210
Canada,CAN,2006,37822.26284,32576070
Canada,CAN,2007,39226.3547,32927520
Canada,CAN,2008,40108.28841,33317660
Canada,CAN,2009,38709.06078,33726920
Canada,CAN,2010,40055.25616,34126550
Germany,DEU,2001,27683.091,82349920
Germany,DEU,2002,28399.38479,82488500
Germany,DEU,2003,29324.51133,82534180
Germany,DEU,2004,30667.70489,82516260
Germany,DEU,2005,32143.63042,82469420
Germany,DEU,2006,34672.06103,82376450
Germany,DEU,2007,36737.35586,82266370
Germany,DEU,2008,38378.3086,82110100
Germany,DEU,2009,37082.49818,81902300
Germany,DEU,2010,39562.82303,81776930
France,FRA,2001,27439.03949,59476240
France,FRA,2002,-999,59893870
France,FRA,2003,28110.01225,60303630
France,FRA,2004,29056.30881,60734340
France,FRA,2005,30397.87103,61181500
France,FRA,2006,32311.13122,61597480
France,FRA,2007,34064.03186,61965050
France,FRA,2008,35169.69751,62300290
France,FRA,2009,34836.62156,62615470
France,FRA,2010,35896.08222,62917790
United Kingdom,GBR,2001,28689.32281,59113000
United Kingdom,GBR,2002,29983.33598,59323000
United Kingdom,GBR,2003,31194.8396,59557000
United Kingdom,GBR,2004,33114.42587,59031000
United Kingdom,GBR,2005,34518.65957,59408000
United Kingdom,GBR,2006,36844.96072,59751000
United Kingdom,GBR,2007,37425.29366,60137000
United Kingdom,GBR,2008,37742.57631,60540000
United Kingdom,GBR,2009,36295.30879,60927000
United Kingdom,GBR,2010,35924.21311,61344000
Italy,ITA,2001,28248.45868,-999
Italy,ITA,2002,27890.42317,57157410
Italy,ITA,2003,28422.28435,57604660
Italy,ITA,2004,28712.27455,58175310
Italy,ITA,2005,29553.62607,58607040
Italy,ITA,2006,31832.36564,58941500
Italy,ITA,2007,33530.87591,59375290
Italy,ITA,2008,34941.17741,59832180
Italy,ITA,2009,33893.16445,60192700
Italy,ITA,2010,34395.6867,60483380
Japan,JPN,2001,26563.09336,127291000
Japan,JPN,2002,27250.72518,127435000
Japan,JPN,2003,27959.5629,127619000
Japan,JPN,2004,29383.55311,127687000
Japan,JPN,2005,30445.63715,127768000
Japan,JPN,2006,31794.62893,127770000
Japan,JPN,2007,33319.3269,127771000
Japan,JPN,2008,33499.88673,127692000
Japan,JPN,2009,31860.59976,127510000
Japan,JPN,2010,33747.642,128057000
United States,USA,2001,37240.17881,284969000
United States,USA,2002,38122.34551,287625200
United States,USA,2003,39606.47017,290107900
United States,USA,2004,41856.53102,292805300
United States,USA,2005,44236.58668,295516600
United States,USA,2006,46368.99384,298379900
United States,USA,2007,47987.47746,301231200
United States,USA,2008,48330.08803,304094000
United States,USA,2009,46929.89194,306771500
United States,USA,2010,48307.09932,309326300
